customer_id,customer_name,address,postal_code,latitude,longitude,tw_start,tw_end,ppl,ppl_freeze,volume_m3,weight_kg,vehicle_type,tour_id,service_time_min
2955,Kiwi 916 Kremmergaarden,RASMUS RØNNEBERGS GATE 6,6002.0,62.4712466,6.1538577,08:51,10:51,4.5,1.5,0.0,0.0,1.0,"1101,2057,3055,4055,5104",36.8
7392,Braud Ulsteinvik,SAUNESVEG 2-4,6065.0,62.34056616662475,5.855065499717559,11:05,13:05,3.0,1.0,0.0,0.0,1.0,2701,6.5
2218,Joker Gursken,Gurskevegen 6,6082.0,62.216106,5.649571,15:12,17:12,6.0,1.5,0.0,0.0,1.0,"1351,2352,4351,5701",8.7
1126,Joker Loen,LODALSVEGEN 9,6789.0,61.8718144,6.8480974,08:38,10:38,16.0,0.0,0.0,0.0,1.0,"1551,2551,4551,5551",15.2
8834,Sansesenteret Sulatunet,Stadsnesvegen 23,6030.0,62.4424369,6.1886657,08:23,10:23,1.0,0.5,0.0,0.0,1.0,2401,3.3
8358,Kk Mat As,Spjelkavikvegen 50,6010.0,62.462791659006506,6.364202726708152,11:32,13:32,1.0,0.0,0.0,0.0,1.0,4042,6.7
2943,Bunnpris Nørve,Nørvegata 1,6008.0,62.4708204,6.20156,08:48,10:48,3.0,1.0,0.0,0.0,1.0,"1101,3053,4051",11.5
3097,Bunnpris Stryn,ROGNHAUGEN 13,6783.0,61.90424,6.71934,09:11,11:11,6.0,1.0,0.0,0.0,1.0,"1551,3551,5551",12.8
500,Storfjord Kulturhus,Øyna 1,6200.0,62.3084285,6.947832,09:15,11:15,1.0,0.5,0.0,0.0,1.0,4601,5.8
6433,Stabburet Sve Kantine St-soh,Morkevegen 101,6200.0,62.26992,6.87301,09:56,11:56,2.5,0.0,0.0,0.0,1.0,4601,7.3
2957,Kiwi 917 Myrvåg,Dragsundvegen 9,6080.0,62.277182,5.80352,11:47,13:47,9.0,1.5,0.0,0.0,1.0,"1251,2352,3701,4251,5701",35.7
2961,Kiwi 924 Vallekrysset,Glomsetvegen 8,6260.0,62.47913,6.66524,09:03,11:03,15.0,0.0,0.0,0.0,1.0,"1201,2651,3151,4302,5651",15.6
5853,SABRY SUSHI,ÅRØYVEGEN 2,6240.0,62.482226966262594,6.817146749172954,08:09,10:09,1.5,0.5,0.0,0.0,1.0,0,9.8
9018,Eurospar Blindheim,Gamle Blindheimsveg 25,6012.0,62.442025,6.371977,08:39,10:39,3.0,1.0,0.0,0.0,1.0,"1107,2105,3106,4104,5402",22.4
9085,Sunde Fjord Hotel As,Sundevegen 164,6037.0,62.41474784001207,6.327781028558445,14:34,16:34,1.5,0.0,0.0,0.0,1.0,4401,5.1
11085,Hatløy Catering As Avd. Expo,Osnesvegen 110,6065.0,62.340955545709114,5.822414397864239,15:00,17:00,1.0,0.5,0.0,0.0,1.0,1701,6.2
6600,Spar Straumane,Spar Straumane,6065.0,62.3160888,5.84408243,08:52,10:52,9.0,0.0,0.0,0.0,1.0,"1701,2702,4702,5702",16.7
9045,Kiwi 832 Sundgata,SUNDGATA 8,6003.0,62.471056,6.166693,15:07,17:07,3.0,0.5,0.0,0.0,1.0,"1108,2058,3056,4109,5104",20.6
9302,Hole Kjøtt As,Keiser Wilhelms gate 30,6002.0,62.4713742,6.159168,10:26,12:26,1.0,0.5,0.0,0.0,1.0,"2101,5052",8.8
6780,Spar Svingen,RINGSTADVEIEN 67,6200.0,62.3115806,6.9180612,08:51,10:51,2.5,1.0,0.0,0.0,1.0,"1601,2602,3601,4601,5601",15.0
8473,Evergreens,Rasmus Rønnebergs gate 6,6002.0,62.4712466,6.1538577,08:59,10:59,0.5,0.0,0.0,0.0,1.0,"2051,5051",3.9
5895,Ssp Prod.kjøkken Y018 Aes,Ålesund lufthavn,6040.0,62.55831,6.11555,16:07,18:07,1.0,0.5,0.0,0.0,1.0,"1751,3751,5751",6.1
2939,Kiwi 909 Flisnes,FLISNESVEGEN 1,6012.0,62.4319749,6.4127797,08:32,10:32,9.5,2.0,0.0,0.0,1.0,"1107,2106,3103,4104,5402",26.9
